contract_id,vendor_id,vendor_name,primary_category,contract_type,monthly_amount
C000035,V00012,合同会社スマートデザイン,ITインフラ,固定金額（月額）,661937
C000016,V00006,株式会社イノベーションイノベーション,ITインフラ,固定金額（一括）,203688
C000001,V00001,有限会社イノベーションコンサルティング,ITインフラ,準委任（人月）,124812
C000040,V00014,有限会社プロフェッショナルコーポレーション,ITインフラ,固定金額（一括）,56711
C000018,V00008,有限会社グローバルパートナーズ,ITインフラ,固定金額（月額）,19549
C000033,V00011,イノベーションコーポレーション株式会社,ITシステム保守・運用,準委任（人月）,7928827
C000027,V00009,合同会社システムラボ,ITシステム保守・運用,固定金額（月額）,6435370
C000008,V00004,有限会社コンサルティングシステムズ,ITシステム保守・運用,準委任（人月）,1067491
C000022,V00008,有限会社グローバルパートナーズ,ITシステム保守・運用,準委任（時間単価）,818830
C000030,V00010,株式会社クラウドコンサルティング,ITシステム保守・運用,固定金額（月額）,329710
C000012,V00006,株式会社イノベーションイノベーション,ITシステム保守・運用,固定金額（月額）,182590
C000004,V00002,株式会社コンサルティングコーポレーション,ITシステム保守・運用,成果報酬,160294
C000005,V00002,株式会社コンサルティングコーポレーション,ITシステム保守・運用,準委任（人月）,150001
C000020,V00008,有限会社グローバルパートナーズ,ITシステム保守・運用,固定金額（月額）,138006
C000029,V00010,株式会社クラウドコンサルティング,ITシステム保守・運用,その他,104121
C000043,V00016,有限会社テクノロジースタジオ,ITシステム保守・運用,固定金額（一括）,94910
C000041,V00014,有限会社プロフェッショナルコーポレーション,ITシステム保守・運用,固定金額（月額）,48762
C000031,V00010,株式会社クラウドコンサルティング,ITシステム保守・運用,準委任（人月）,38307
C000013,V00006,株式会社イノベーションイノベーション,ITシステム保守・運用,準委任（時間単価）,31199
C000003,V00002,株式会社コンサルティングコーポレーション,ITシステム保守・運用,準委任（時間単価）,31010
C000021,V00008,有限会社グローバルパートナーズ,ITシステム保守・運用,準委任（人月）,19950
C000019,V00008,有限会社グローバルパートナーズ,ITシステム保守・運用,固定金額（月額）,8886
C000023,V00009,合同会社システムラボ,ITシステム開発,成果報酬,8982676
C000011,V00005,有限会社セキュリティソリューションズ,ITシステム開発,準委任（時間単価）,1913301
C000024,V00009,合同会社システムラボ,ITシステム開発,固定金額（月額）,234887
C000028,V00010,株式会社クラウドコンサルティング,ITシステム開発,固定金額（月額）,100576
C000034,V00011,イノベーションコーポレーション株式会社,ITシステム開発,準委任（時間単価）,51853
C000010,V00005,有限会社セキュリティソリューションズ,ITシステム開発,固定金額（一括）,25889
C000037,V00013,株式会社インテグレーションパートナーズ,コンサルティング,準委任（人月）,12573
C000042,V00015,ソリューションパートナーズ株式会社,マーケティング支援,準委任（人月）,55573
C000032,V00010,株式会社クラウドコンサルティング,業務委託（IT以外）,準委任（人月）,965347
C000038,V00013,株式会社インテグレーションパートナーズ,業務委託（IT以外）,固定金額（月額）,146616
C000006,V00003,有限会社エンタープライズグループ,業務委託（IT以外）,成果報酬,54193
C000049,V00017,株式会社AIシステムズ,,準委任（人月）,1313104
C000044,V00016,有限会社テクノロジースタジオ,,固定金額（一括）,950648
C000047,V00016,有限会社テクノロジースタジオ,,固定金額（月額）,624327
C000048,V00017,株式会社AIシステムズ,,固定金額（月額）,64078
