rank,vendor_id,vendor_name,vendor_classification,industry,vendor_rating,total_annual_spend,contract_count,spend_ratio,cumulative_ratio
1,V00009,合同会社システムラボ,大手企業,IT・システム開発,B,187835196,3,45.84,45.84
2,V00011,イノベーションコーポレーション株式会社,中堅企業,IT・システム開発,B,95768160,2,23.37,69.21
3,V00005,有限会社セキュリティソリューションズ,中小企業,IT・システム開発,A,23270280,2,5.68,74.89
4,V00016,有限会社テクノロジースタジオ,中堅企業,コンサルティング,B,20038620,3,4.89,79.78
5,V00010,株式会社クラウドコンサルティング,中小企業,IT・システム開発,A,18456732,5,4.5,84.28
6,V00017,株式会社AIシステムズ,中堅企業,BPO・業務委託,A,16526184,2,4.03,88.31
7,V00004,有限会社コンサルティングシステムズ,中堅企業,IT・システム開発,B,12809892,1,3.13,91.44
8,V00008,有限会社グローバルパートナーズ,中堅企業,コンサルティング,S,12062652,5,2.94,94.38
9,V00012,合同会社スマートデザイン,スタートアップ,マーケティング,C,7943244,1,1.94,96.32
10,V00006,株式会社イノベーションイノベーション,中小企業,BPO・業務委託,A,5009724,3,1.22,97.54
11,V00002,株式会社コンサルティングコーポレーション,個人事業主,人材派遣,B,4095660,3,1.0,98.54
12,V00013,株式会社インテグレーションパートナーズ,中小企業,コンサルティング,S,1910268,2,0.47,99.01
13,V00001,有限会社イノベーションコンサルティング,大手企業,BPO・業務委託,B,1497744,1,0.37,99.38
14,V00014,有限会社プロフェッショナルコーポレーション,大手企業,IT・システム開発,S,1265676,2,0.31,99.69
15,V00015,ソリューションパートナーズ株式会社,中堅企業,その他,S,666876,1,0.16,99.85
16,V00003,有限会社エンタープライズグループ,中小企業,IT・システム開発,S,650316,1,0.16,100.01
